Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 50
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	25	47
1	51	82
2	56	92
3	74	14
4	21	30
5	24	77
6	68	43
7	31	9
8	62	64
9	55	86
10	37	35
11	86	51
12	97	22
13	55	77
14	60	81
15	93	12
16	15	23
17	14	42
18	70	51
19	43	11
20	75	35
21	85	46
22	96	84
23	33	17
24	4	93
25	32	85
26	90	14
27	91	62
28	46	30
29	42	52
30	17	1
31	70	69
32	89	19
33	91	26
34	1	86
35	2	89
36	44	28
37	87	67
38	43	51
39	9	58
40	87	85
41	59	18
42	91	88
43	89	56
44	67	64
45	22	35
46	82	90
47	49	88
48	78	73
49	0	13
50	41	50
